city,link,city_link,track_id,crossed,nearby_count_beginning,nearby_count_whole,risky_crossing,run_red_light,crosswalk_use_or_not,gender,age,phone_using,walking_speed_mps,crossing_speed_mps,decision_delay_s,backpack,umbrella,handbag,suitcase,short_sleeved_shirt,long_sleeved_shirt,short_sleeved_outwear,long_sleeved_outwear,vest,sling,shorts,trousers,skirt,short_sleeved_dress,long_sleeved_dress,vest_dress,sling_dress,weather,daytime,police_car,arrow_board,cones,accident,crack,potholes,avg_vehicle_total,crossing_sign,avg_road_width,crosswalk,sidewalk,ambulance,army vehicle,auto rickshaw,bicycle,bus,car,garbagevan,human hauler,human,hauler,minibus,minivan,motorbike,pickup,policecar,rickshaw,scooter,suv,taxi,three wheelers -CNG-,truck,van,wheelbarrow,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2642,True,1,2,0,0,0,male,36.0,1,1.219,1.282,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.0,0,1.1933333333333334,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2646,True,1,3,0,0,0,male,34.0,0,1.048,1.099,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,shine,Day,0,0,0,0,0,0,1.0,0,1.1933333333333334,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2661,True,3,3,0,0,0,male,43.0,0,1.37,1.289,0.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,shine,Day,0,0,0,0,0,0,0.7142857142857143,0,1.3342857142857143,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2669,True,2,3,0,0,0,male,32.0,1,1.163,1.249,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,0.6666666666666666,0,1.3866666666666667,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2708,True,2,3,0,0,0,male,34.0,0,1.234,1.3,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,shine,Day,0,0,0,0,0,0,0.6666666666666666,0,1.42,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2766,True,1,1,0,0,0,female,28.0,0,1.645,1.802,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,rain,Day,0,0,0,0,0,0,1.25,0,1.4475,0,1,0,0,0,0,1,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,2767,True,1,1,0,0,0,male,39.0,0,1.484,1.638,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,1.0,0,1.3299999999999998,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3166,True,1,1,0,0,0,male,28.0,0,1.667,1.982,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,rain,Day,0,0,0,0,0,0,2.0,0,1.8666666666666665,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3207,True,0,1,0,0,0,male,28.0,0,1.431,1.732,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,sunrise,Day,0,0,0,0,0,0,2.2,0,1.99,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3230,True,1,1,0,0,0,,,0,0.92,1.329,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,1,0,2.7142857142857144,0,1.88,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
